train_model,test_model,features,fpr,tpr,AUC
SVM,RF,82,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,82,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,83,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,83,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,83,[0. 0. 1.],[0.         0.97014925 1.        ],0.9850746268656716
SVM,RF,83,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,83,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,84,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,84,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,84,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
SVM,RF,84,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,84,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,85,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,85,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,85,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
SVM,RF,85,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,85,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,86,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,86,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,86,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
SVM,RF,86,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,86,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,87,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,87,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,87,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,87,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,87,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,88,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,88,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,88,[0. 0. 1.],[0. 1. 1.],1.0
SVM,RF,88,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,88,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,89,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,89,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,89,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,89,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,89,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,90,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,90,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,90,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
SVM,RF,90,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,90,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
