selection_model,train_model,features,fpr,tpr,threshold
RandomForest,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.3684210526315789, 0.3684210526315789, 0.5263157894736842, 0.6842105263157895, 0.7894736842105263, 0.8947368421052632, 1.0]","[0.0, 0.6037735849056604, 0.610062893081761, 0.7232704402515723, 0.7610062893081762, 0.7672955974842768, 0.7861635220125787, 0.7987421383647799, 0.8113207547169812, 0.8490566037735849, 0.8616352201257862, 0.8805031446540881, 0.9056603773584906, 0.9245283018867925, 0.949685534591195, 0.9622641509433962, 0.9748427672955975, 0.9748427672955975, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99750215 0.99731135 0.9971981  0.9940508  0.9933296
 0.99331903 0.9927812  0.9922948  0.9848225  0.9790111  0.9783238
 0.9712785  0.9688682  0.9353831  0.9174739  0.84680176 0.7239749
 0.5685492  0.16788168 0.1476566  0.07538763 0.06769086 0.05790591
 0.04698112 0.02850576]"
RandomForest,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.3157894736842105, 0.42105263157894735, 0.5263157894736842, 1.0]","[0.0, 0.9245283018867925, 0.9308176100628931, 0.9559748427672956, 0.9748427672955975, 0.9811320754716981, 0.9811320754716981, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.9        0.8        0.78571429
 0.75       0.65       0.63       0.40833333 0.1        0.05
 0.03333333 0.        ]"
RandomForest,SVM,3,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.2631578947368421, 0.2631578947368421, 1.0]","[0.0, 0.006289308176100629, 0.9811320754716981, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 0.99999801 0.95627137 0.7441878  0.54301398 0.1639902
 0.13861764 0.031734  ]"
RandomForest,DecisionTree,3,"[0.0, 0.15789473684210525, 0.21052631578947367, 1.0]","[0.0, 0.9748427672955975, 0.9811320754716981, 1.0]",[inf 1.  0.5 0. ]
RandomForest,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 0.47368421052631576, 1.0]","[0.0, 0.779874213836478, 0.7861635220125787, 0.7987421383647799, 0.8301886792452831, 0.8742138364779874, 0.89937106918239, 0.9182389937106918, 0.9245283018867925, 0.9371069182389937, 0.9622641509433962, 0.9622641509433962, 0.9685534591194969, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9353423  0.93066144 0.9300022  0.92931515 0.92768514
 0.9267478  0.9217657  0.92100453 0.9199881  0.8946942  0.8938141
 0.89263564 0.8790983  0.81671095 0.50757974 0.50483096 0.44004086
 0.3996862  0.35820854]"
RandomForest,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.5263157894736842, 0.631578947368421, 0.6842105263157895, 1.0]","[0.0, 0.9245283018867925, 0.9559748427672956, 0.9685534591194969, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.9        0.65       0.5625
 0.45       0.0625     0.05       0.03333333 0.        ]"
RandomForest,SVM,4,"[0.0, 0.0, 0.0, 0.8947368421052632, 0.8947368421052632, 1.0]","[0.0, 0.006289308176100629, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]",[       inf 0.99999999 0.5        0.06077271 0.05477311 0.03581127]
RandomForest,DecisionTree,4,"[0.0, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.2631578947368421, 1.0]","[0.0, 0.9811320754716981, 0.9811320754716981, 0.9874213836477987, 1.0, 1.0, 1.0]","[       inf 1.         0.8        0.4        0.33333333 0.2
 0.        ]"
RandomForest,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.631578947368421, 1.0]","[0.0, 0.6729559748427673, 0.6792452830188679, 0.7169811320754716, 0.7232704402515723, 0.7358490566037735, 0.7421383647798742, 0.7672955974842768, 0.7924528301886793, 0.8050314465408805, 0.8364779874213837, 0.8553459119496856, 0.8679245283018868, 0.8805031446540881, 0.9119496855345912, 0.9308176100628931, 0.9874213836477987, 0.9874213836477987, 1.0, 1.0, 1.0]","[       inf 0.99740714 0.99721295 0.9965592  0.9962604  0.99589795
 0.9957734  0.9955059  0.9946366  0.9945538  0.9914779  0.9913167
 0.99097425 0.99088085 0.9870057  0.9822859  0.8882305  0.7210037
 0.35983232 0.03340456 0.02819721]"
RandomForest,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.7894736842105263, 1.0]","[0.0, 0.8679245283018868, 0.8805031446540881, 0.89937106918239, 0.9056603773584906, 0.949685534591195, 0.9622641509433962, 0.9811320754716981, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99142857 0.99       0.98666667 0.98
 0.96       0.65166667 0.61880952 0.44666667 0.43466667 0.40533333
 0.40333333 0.00666667 0.        ]"
