selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
Random Forest,SVM,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9637129724208376,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,80,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,80,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,80,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9614657814096017,"{'C': 50, 'kernel': 'rbf'}"
Decision Tree,XGBoost,20,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Decision Tree,Random Forest,20,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Decision Tree,Decision Tree,20,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Decision Tree,SVM,20,0.9954648526077098,0.9950124688279302,1.0,1.0,0.9975,0.9950124688279303,0.9975062344139651,0.9734633648439304,0.947829417773238,"{'C': 50, 'kernel': 'rbf'}"
Decision Tree,XGBoost,25,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Decision Tree,Random Forest,25,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Decision Tree,Decision Tree,25,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Decision Tree,SVM,25,0.9954648526077098,0.9950124688279302,1.0,1.0,0.9975,0.9950124688279303,0.9975062344139651,0.9734633648439304,0.9523493360572012,"{'C': 50, 'kernel': 'rbf'}"
Decision Tree,XGBoost,30,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Decision Tree,Random Forest,30,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Decision Tree,Decision Tree,30,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Decision Tree,SVM,30,0.9954648526077098,0.9950124688279302,1.0,1.0,0.9975,0.9950124688279303,0.9975062344139651,0.9734633648439304,0.9501021450459654,"{'C': 50, 'kernel': 'rbf'}"
